_id,location,name_pollutant_substance,measurement_results,period,maximum_permissible_concentration,deviation
198,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.224,2014-06-30T00:00:00,0.4,-0.18
199,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.26,2014-06-30T00:00:00,0.2,0.06
200,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.062,2014-06-30T00:00:00,0.5,-0.44
201,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,7.24,2014-09-30T00:00:00,5,2.24
202,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.23,2014-09-30T00:00:00,0.4,-0.17
203,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.243,2014-09-30T00:00:00,0.2,0.04
204,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.113,2014-09-30T00:00:00,0.5,-0.39
205,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,7.31,2014-12-31T00:00:00,5,2.31
206,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.244,2014-12-31T00:00:00,0.4,-0.16
207,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.277,2014-12-31T00:00:00,0.2,0.08
208,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.078,2014-12-31T00:00:00,0.5,-0.42
209,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,6.72,2015-03-31T00:00:00,5,1.72
210,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.208,2015-03-31T00:00:00,0.4,-0.19
211,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.219,2015-03-31T00:00:00,0.2,0.02
212,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.052,2015-03-31T00:00:00,0.5,-0.45
213,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,7.23,2015-06-30T00:00:00,5,2.23
214,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.271,2015-06-30T00:00:00,0.4,-0.13
215,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.299,2015-06-30T00:00:00,0.2,0.1
216,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.078,2015-06-30T00:00:00,0.5,-0.42
217,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,7.5,2015-09-30T00:00:00,5,2.5
218,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.243,2015-09-30T00:00:00,0.4,-0.16
219,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.272,2015-09-30T00:00:00,0.2,0.07
220,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.082,2015-09-30T00:00:00,0.5,-0.42
221,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,6.18,2015-12-31T00:00:00,5,1.18
222,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.201,2015-12-31T00:00:00,0.4,-0.2
223,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.212,2015-12-31T00:00:00,0.2,0.01
224,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.08,2015-12-31T00:00:00,0.5,-0.42
225,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,7.2,2016-03-31T00:00:00,5,2.2
226,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.218,2016-03-31T00:00:00,0.4,-0.18
227,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.23,2016-03-31T00:00:00,0.2,0.03
228,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.089,2016-03-31T00:00:00,0.5,-0.41
229,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,6.07,2016-06-30T00:00:00,5,1.07
230,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.209,2016-06-30T00:00:00,0.4,-0.19
231,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.227,2016-06-30T00:00:00,0.2,0.03
